implementation	objective	acquisition	trial	gap_estimate	gap_se
BoTorch	h6	ei	0	0.2743697942048311	0.018379601747468405
BoTorch	h6	ei	1	0.3252040116302669	0.019658953283425873
BoTorch	h6	ei	2	0.37173740470781924	0.02143145139524156
BoTorch	h6	ei	3	0.4340958460792899	0.021945682474186528
BoTorch	h6	ei	4	0.4877090555988252	0.02105574007621313
BoTorch	h6	ei	5	0.5364251931011677	0.019289237256382097
BoTorch	h6	ei	6	0.562732949256897	0.019209760950316592
BoTorch	h6	ei	7	0.5911801189184189	0.018555849140542015
BoTorch	h6	ei	8	0.6048236468434334	0.017987272951049283
BoTorch	h6	ei	9	0.6305620182305575	0.016810685127662376
BoTorch	h6	ei	10	0.6384973627328873	0.016408834007793093
BoTorch	h6	ei	11	0.647936378121376	0.016346056003173456
BoTorch	h6	ei	12	0.6577197137475014	0.01567488334947996
BoTorch	h6	ei	13	0.6621094015240669	0.015680596128443147
BoTorch	h6	ei	14	0.6657021963596343	0.015620179666144879
BoTorch	h6	ei	15	0.6675288164615631	0.015751064157588403
BoTorch	h6	ei	16	0.6811292371153832	0.015433902599964461
BoTorch	h6	ei	17	0.691475770175457	0.014978947382222602
BoTorch	h6	ei	18	0.6930625662207603	0.015054908711758597
BoTorch	h6	ei	19	0.6945832440257073	0.014900052779832007
BoTorch	h6	ei	20	0.6972725543379784	0.01494236478903919
BoTorch	h6	ei	21	0.6972725543379784	0.01494236478903919
BoTorch	h6	ei	22	0.6985266605019569	0.01467853230316867
BoTorch	h6	ei	23	0.7015836241841317	0.014813821040837078
BoTorch	h6	ei	24	0.7020398518443107	0.014829146611158108
BoTorch	h6	ei	25	0.7023633351922035	0.014772743255729841
BoTorch	h6	ei	26	0.7033214309811592	0.014694962542092127
BoTorch	h6	ei	27	0.703495589196682	0.01465660943824534
BoTorch	h6	ei	28	0.7051077499985695	0.014688735389242097
BoTorch	h6	ei	29	0.7082217556238174	0.014298003449249192
BoTorch	gp	ei	0	0.4382430598884821	0.024702974054477272
BoTorch	gp	ei	1	0.5228373219072818	0.020526115273114938
BoTorch	gp	ei	2	0.5637996680289507	0.019797971305477884
BoTorch	gp	ei	3	0.6009432626143097	0.01988877064108822
BoTorch	gp	ei	4	0.6236633897572755	0.017718577206836762
BoTorch	gp	ei	5	0.6508100292831659	0.01721382214333103
BoTorch	gp	ei	6	0.664605876505375	0.016939250687587306
BoTorch	gp	ei	7	0.6803770989179612	0.015940236484914085
BoTorch	gp	ei	8	0.700992397069931	0.01591041004071502
BoTorch	gp	ei	9	0.7152010190486908	0.015128845761857992
BoTorch	gp	ei	10	0.7293566805124283	0.014764404226913266
BoTorch	gp	ei	11	0.7441706389188767	0.015206688233487637
BoTorch	gp	ei	12	0.7557798057794571	0.015345918951225144
BoTorch	gp	ei	13	0.7650415736436844	0.014837597017505505
BoTorch	gp	ei	14	0.7748563513159752	0.014123350864410092
BoTorch	gp	ei	15	0.7752422866225243	0.014050930966862652
BoTorch	gp	ei	16	0.7856503757834434	0.013567743644542588
BoTorch	gp	ei	17	0.7891064766049385	0.013342504557605123
BoTorch	gp	ei	18	0.7939113232493401	0.013322440613843653
BoTorch	gp	ei	19	0.8047222682833671	0.01370866052663285
BoTorch	gp	ei	20	0.8102894142270088	0.01349711055070755
BoTorch	gp	ei	21	0.822970577776432	0.011922135101684488
BoTorch	gp	ei	22	0.8250877067446709	0.012024903892695908
BoTorch	gp	ei	23	0.8292577567696572	0.011997269636667852
