acquisition	objective	run_id	time_per_iteration	implementation
ei	h6	0	0.0687129883406063	BoTorch
ei	h6	1	0.07252665765893956	BoTorch
ei	h6	2	0.06467025359161198	BoTorch
ei	h6	3	0.0658720823780944	BoTorch
ei	h6	4	0.06963717943678299	BoTorch
ei	h6	5	0.07431408466460804	BoTorch
ei	h6	6	0.07844465184025466	BoTorch
ei	h6	7	0.07214245380212864	BoTorch
ei	h6	8	0.06884159175679087	BoTorch
ei	h6	9	0.07861407284314434	BoTorch
ei	h6	10	0.08436365177234013	BoTorch
ei	h6	11	0.07053548266800741	BoTorch
ei	h6	12	0.07565779373981059	BoTorch
ei	h6	13	0.08295006646464269	BoTorch
ei	h6	14	0.09011758173195024	BoTorch
ei	h6	15	0.07565070251002907	BoTorch
ei	h6	16	0.07187236589379609	BoTorch
ei	h6	17	0.07152658170089125	BoTorch
ei	h6	18	0.07390479380264878	BoTorch
ei	h6	19	0.07405421690394481	BoTorch
ei	h6	20	0.06814754398850104	BoTorch
ei	h6	21	0.06835714237143596	BoTorch
ei	h6	22	0.07606887950872382	BoTorch
ei	h6	23	0.06680808363792796	BoTorch
ei	h6	24	0.05952610317617655	BoTorch
ei	h6	25	0.07407914327147107	BoTorch
ei	h6	26	0.07909831271196405	BoTorch
ei	h6	27	0.0692728663329035	BoTorch
ei	h6	28	0.0694232346334805	BoTorch
ei	h6	29	0.07148970550236602	BoTorch
ei	h6	30	0.07523066770906249	BoTorch
ei	h6	31	0.06663273776260516	BoTorch
ei	h6	32	0.073999084206298	BoTorch
ei	h6	33	0.09200543823341528	BoTorch
ei	h6	34	0.060413094439233345	BoTorch
ei	h6	35	0.06614251947030425	BoTorch
ei	h6	36	0.07004142310470343	BoTorch
ei	h6	37	0.07002068023818235	BoTorch
ei	h6	38	0.07883407290404042	BoTorch
ei	h6	39	0.07392926616594195	BoTorch
ei	h6	40	0.08209995140011112	BoTorch
ei	h6	41	0.07832453646697105	BoTorch
ei	h6	42	0.06537496840270857	BoTorch
ei	h6	43	0.07205468422422806	BoTorch
ei	h6	44	0.07753806544157366	BoTorch
ei	h6	45	0.08269976462858418	BoTorch
ei	h6	46	0.06872466813462476	BoTorch
ei	h6	47	0.0729422691743821	BoTorch
ei	h6	48	0.06721170571011802	BoTorch
ei	h6	49	0.06452167790072659	BoTorch
ei	h6	50	0.07299937373027206	BoTorch
ei	h6	51	0.07633219746251901	BoTorch
ei	h6	52	0.06035642285520832	BoTorch
ei	h6	53	0.06081250744561354	BoTorch
ei	h6	54	0.07051781284001966	BoTorch
ei	h6	55	0.06973191212552289	BoTorch
ei	h6	56	0.06061253786707918	BoTorch
ei	h6	57	0.07154474972436825	BoTorch
ei	h6	58	0.07256622505374252	BoTorch
ei	h6	59	0.06734613622538746	BoTorch
ei	h6	60	0.07591724476466576	BoTorch
ei	h6	61	0.07379418386456867	BoTorch
ei	h6	62	0.07288597476047774	BoTorch
ei	h6	63	0.07364231863369544	BoTorch
ei	h6	64	0.07108096174585322	BoTorch
ei	h6	65	0.07004659602728983	BoTorch
ei	h6	66	0.0593060215935111	BoTorch
ei	h6	67	0.06530245919711888	BoTorch
ei	h6	68	0.07356183350396653	BoTorch
ei	h6	69	0.08711668107037743	BoTorch
ei	h6	70	0.07295953626744449	BoTorch
ei	h6	71	0.07095824126154185	BoTorch
ei	h6	72	0.07501465560247501	BoTorch
ei	h6	73	0.06843102976369361	BoTorch
ei	h6	74	0.06610051460253695	BoTorch
ei	h6	75	0.06817526863887906	BoTorch
ei	h6	76	0.06097947697465619	BoTorch
