trial	gap_estimate	gap_se	acquisition	objective	implementation
0	0.26362886117002704	0.017694858588892342	ei	h6	DiceOptim
1	0.29879344625441134	0.018365972388412335	ei	h6	DiceOptim
2	0.3129456917023291	0.018930489015403475	ei	h6	DiceOptim
3	0.3259247474251744	0.018940831270668434	ei	h6	DiceOptim
4	0.3398409404524293	0.018425571230594327	ei	h6	DiceOptim
5	0.3550600136514142	0.01860994347630656	ei	h6	DiceOptim
6	0.3711553721545799	0.018907080574884643	ei	h6	DiceOptim
7	0.3833059092276433	0.018762631804035385	ei	h6	DiceOptim
8	0.3898217648671739	0.01910323833354042	ei	h6	DiceOptim
9	0.395438959831035	0.019478959800871137	ei	h6	DiceOptim
10	0.4038916310719961	0.019585489351528675	ei	h6	DiceOptim
11	0.41710495847302637	0.020011996320235485	ei	h6	DiceOptim
12	0.42644512743457125	0.020117380832179416	ei	h6	DiceOptim
13	0.4311838044843469	0.020628049628887264	ei	h6	DiceOptim
14	0.4372947338328599	0.020700761238979053	ei	h6	DiceOptim
15	0.44288538969710917	0.02098218421384039	ei	h6	DiceOptim
16	0.4486723264424561	0.02110507329588527	ei	h6	DiceOptim
17	0.453220950784094	0.02109352972893186	ei	h6	DiceOptim
18	0.4674619579108546	0.020649714547484748	ei	h6	DiceOptim
19	0.47197181564118096	0.021151246633973993	ei	h6	DiceOptim
20	0.47989535736271594	0.021300381174569772	ei	h6	DiceOptim
21	0.4874919775489159	0.021707397631396425	ei	h6	DiceOptim
22	0.49544089404987557	0.02187797621413563	ei	h6	DiceOptim
23	0.5044301646738478	0.022559343061570997	ei	h6	DiceOptim
24	0.50849956972811	0.022772846187460026	ei	h6	DiceOptim
25	0.5154015093070802	0.022501900090318664	ei	h6	DiceOptim
26	0.5207259060306266	0.022912924500049586	ei	h6	DiceOptim
27	0.5328180633624006	0.02306150871580593	ei	h6	DiceOptim
28	0.5375911024581314	0.02349467840781902	ei	h6	DiceOptim
29	0.5535519013133148	0.022949328048842758	ei	h6	DiceOptim
0	0.4280834733141169	0.0263747604039276	ei	gp	DiceOptim
1	0.4859321494145196	0.02649018960339462	ei	gp	DiceOptim
2	0.5270369454017069	0.02642980127477836	ei	gp	DiceOptim
3	0.558364851734226	0.025697890815833714	ei	gp	DiceOptim
4	0.5883351010795768	0.02569460672967112	ei	gp	DiceOptim
5	0.6032873547971539	0.02613628912027662	ei	gp	DiceOptim
6	0.6249254587062729	0.024653834363694775	ei	gp	DiceOptim
7	0.6391210577933183	0.023693167083629	ei	gp	DiceOptim
8	0.6509528179073736	0.023392074257953335	ei	gp	DiceOptim
9	0.667788329319569	0.022900319351017783	ei	gp	DiceOptim
10	0.6849335405854412	0.02279080171244002	ei	gp	DiceOptim
11	0.6979932480811624	0.022465968215007008	ei	gp	DiceOptim
12	0.7023514497934193	0.022484195804061323	ei	gp	DiceOptim
13	0.7103551008184965	0.022743694591162544	ei	gp	DiceOptim
14	0.7181076308960906	0.02251923930588154	ei	gp	DiceOptim
15	0.7300333874044818	0.021835890584589436	ei	gp	DiceOptim
16	0.7337810263532121	0.021927702965542785	ei	gp	DiceOptim
17	0.7385505624442412	0.02136209675480373	ei	gp	DiceOptim
18	0.7415926601938677	0.021547740351292463	ei	gp	DiceOptim
19	0.7500611548607605	0.021402055813257763	ei	gp	DiceOptim
20	0.76341145122209	0.02113374236321746	ei	gp	DiceOptim
21	0.773448825302357	0.020977034414989236	ei	gp	DiceOptim
22	0.7761592440715785	0.021151000633628993	ei	gp	DiceOptim
23	0.7803111017599569	0.02075692994244241	ei	gp	DiceOptim
24	0.7864469070433853	0.020408192379943454	ei	gp	DiceOptim
25	0.7902255680294363	0.020432824172481222	ei	gp	DiceOptim
26	0.7908619274403357	0.0204311333521977	ei	gp	DiceOptim
27	0.792431852243627	0.02033657461334653	ei	gp	DiceOptim
28	0.7987181579608009	0.020114678792534407	ei	gp	DiceOptim
29	0.8075372133091315	0.019427049406566983	ei	gp	DiceOptim
0	0.7926898657286837	0.03247516722404318	ei	ros	DiceOptim
1	0.8438568795478564	0.028920435056491122	ei	ros	DiceOptim
2	0.8655251566466473	0.027291635415454252	ei	ros	DiceOptim
3	0.8805557340616194	0.025327163211106958	ei	ros	DiceOptim
4	0.8928169971166401	0.024329479421175564	ei	ros	DiceOptim
5	0.9088785037892898	0.02155752757129177	ei	ros	DiceOptim
6	0.9164303333409949	0.02119349791554826	ei	ros	DiceOptim
7	0.9186118865015246	0.02121838753907148	ei	ros	DiceOptim
8	0.9365095446735238	0.017477544250615512	ei	ros	DiceOptim
9	0.9380970780683043	0.01744530830562225	ei	ros	DiceOptim
10	0.9410106371680548	0.01745710351775535	ei	ros	DiceOptim
11	0.9425383438113257	0.017465188281242088	ei	ros	DiceOptim
12	0.9495728130808033	0.015757458875788166	ei	ros	DiceOptim
13	0.9498659798168146	0.015765437160481975	ei	ros	DiceOptim
14	0.9514613970457101	0.015600956931353572	ei	ros	DiceOptim
15	0.9578736818939797	0.014583377078119755	ei	ros	DiceOptim
16	0.959743745308863	0.014483714655166017	ei	ros	DiceOptim
17	0.9656094471457561	0.011786716823625882	ei	ros	DiceOptim
18	0.9658061031744934	0.011791697087221435	ei	ros	DiceOptim
19	0.9663766894077191	0.011757877327380713	ei	ros	DiceOptim
20	0.9671898230208252	0.011722161114235342	ei	ros	DiceOptim
21	0.9677153282368822	0.011727319975169582	ei	ros	DiceOptim
22	0.9677284089490247	0.011727646212629688	ei	ros	DiceOptim
23	0.9681116410735149	0.011732329674255087	ei	ros	DiceOptim
24	0.9683068514967134	0.011729825366766363	ei	ros	DiceOptim
25	0.9693029523162707	0.011700966866215695	ei	ros	DiceOptim
26	0.9694969433210228	0.011704513238784414	ei	ros	DiceOptim
27	0.9770690762113975	0.006989309844317492	ei	ros	DiceOptim
28	0.978534215658397	0.006704293503586541	ei	ros	DiceOptim
29	0.9788226226291428	0.006692673409008219	ei	ros	DiceOptim
0	0.25990621347441734	0.016411078398508947	kg	h6	DiceOptim
1	0.2989529977723866	0.017320518130476928	kg	h6	DiceOptim
2	0.31612523922855906	0.017508137920953907	kg	h6	DiceOptim
3	0.327667437978324	0.017496835746971334	kg	h6	DiceOptim
4	0.33200063338680724	0.017620094885989528	kg	h6	DiceOptim
5	0.34679098664176633	0.017647414030211115	kg	h6	DiceOptim
6	0.3603267569729121	0.018915566685687328	kg	h6	DiceOptim
7	0.36542146507088363	0.018934634487375004	kg	h6	DiceOptim
8	0.37576701811543844	0.018988819212497256	kg	h6	DiceOptim
9	0.3852370752587299	0.01940854688878766	kg	h6	DiceOptim
10	0.39172917881512553	0.020119431307063725	kg	h6	DiceOptim
11	0.4041679918450356	0.020390096817508186	kg	h6	DiceOptim
12	0.4102765998763318	0.020468209073593917	kg	h6	DiceOptim
13	0.4178058636205851	0.020651003927551866	kg	h6	DiceOptim
14	0.4241286005664567	0.020554728613399822	kg	h6	DiceOptim
15	0.4342094767451262	0.02085914242198752	kg	h6	DiceOptim
16	0.4418731296047007	0.021112509071777662	kg	h6	DiceOptim
17	0.4442632052029645	0.021184072205121533	kg	h6	DiceOptim
18	0.45129307330067775	0.021316764867580197	kg	h6	DiceOptim
19	0.45976009743422624	0.022175259447574223	kg	h6	DiceOptim
20	0.463600013000133	0.02252730580824812	kg	h6	DiceOptim
21	0.47504292254017977	0.02222813060676836	kg	h6	DiceOptim
22	0.4772802828384515	0.022366400637919955	kg	h6	DiceOptim
23	0.48378747119054233	0.02206010479639031	kg	h6	DiceOptim
24	0.49229547811467456	0.022523391961055926	kg	h6	DiceOptim
25	0.4951890710593	0.022678545722505206	kg	h6	DiceOptim
26	0.500488305457175	0.023059817693162916	kg	h6	DiceOptim
27	0.5063383774618939	0.023085531383258875	kg	h6	DiceOptim
28	0.5127771679859215	0.02370589925090904	kg	h6	DiceOptim
29	0.5166678202994457	0.023820946935039423	kg	h6	DiceOptim
0	0.4465941990900366	0.02466653268799108	kg	gp	DiceOptim
1	0.4760863970822817	0.024330230301052837	kg	gp	DiceOptim
2	0.5290450517344836	0.023956222360229835	kg	gp	DiceOptim
3	0.57371427747019	0.024699846856615623	kg	gp	DiceOptim
4	0.616641454509356	0.023421662004121106	kg	gp	DiceOptim
5	0.644189416459989	0.02228251983992644	kg	gp	DiceOptim
6	0.6742226053060316	0.0203764228515849	kg	gp	DiceOptim
7	0.6952266269967283	0.019858177230530044	kg	gp	DiceOptim
8	0.7099534646341896	0.019514267022530903	kg	gp	DiceOptim
9	0.7276533408510847	0.018282749869393797	kg	gp	DiceOptim
10	0.7413245182270747	0.01893841911012587	kg	gp	DiceOptim
11	0.7575181050980985	0.01732462412087183	kg	gp	DiceOptim
12	0.7770156590488627	0.01670595613070337	kg	gp	DiceOptim
13	0.7809755106575146	0.016705611947090516	kg	gp	DiceOptim
14	0.7844969010456669	0.016802340547996654	kg	gp	DiceOptim
15	0.7865751967188643	0.016827882345626342	kg	gp	DiceOptim
16	0.7899772692064696	0.0167366990846721	kg	gp	DiceOptim
17	0.8029160497692441	0.01606882106663979	kg	gp	DiceOptim
18	0.8088428833029154	0.015814674098796683	kg	gp	DiceOptim
19	0.8138380897837267	0.015468174597846013	kg	gp	DiceOptim
20	0.8169228703239741	0.01541601662563973	kg	gp	DiceOptim
21	0.8197502883918945	0.015451412630459507	kg	gp	DiceOptim
22	0.8244061205840769	0.015548182942093392	kg	gp	DiceOptim
23	0.8275364265269199	0.01567008929365243	kg	gp	DiceOptim
24	0.828004453352933	0.015710631147705288	kg	gp	DiceOptim
25	0.832755280082212	0.015435044779642448	kg	gp	DiceOptim
26	0.8393985754711714	0.01550867626802814	kg	gp	DiceOptim
27	0.8442184507624328	0.015610501835914356	kg	gp	DiceOptim
