acquisition	objective	run_id	time_per_iteration	implementation
ei	h6	0	0.3403096040089925	DiceOptim
ei	h6	1	0.600931175549825	DiceOptim
ei	h6	2	0.41404659748077394	DiceOptim
ei	h6	3	0.9864197731018066	DiceOptim
ei	h6	4	0.3307913859685262	DiceOptim
ei	h6	5	0.3809557835261027	DiceOptim
ei	h6	6	0.3777774969736735	DiceOptim
ei	h6	7	0.3310712416966756	DiceOptim
ei	h6	8	0.39913419087727864	DiceOptim
ei	h6	9	0.3282505512237549	DiceOptim
ei	h6	10	0.40539337793986	DiceOptim
ei	h6	11	0.4359981139500936	DiceOptim
ei	h6	12	0.3555914560953776	DiceOptim
ei	h6	13	0.3568950891494751	DiceOptim
ei	h6	14	1.0139865795771281	DiceOptim
ei	h6	15	0.4410618782043457	DiceOptim
ei	h6	16	0.40471943219502765	DiceOptim
ei	h6	17	0.5232401609420776	DiceOptim
ei	h6	18	0.33363494873046873	DiceOptim
ei	h6	19	0.4854292949040731	DiceOptim
ei	h6	20	0.33676944573720297	DiceOptim
ei	h6	21	0.3321217060089111	DiceOptim
ei	h6	22	0.35443193117777505	DiceOptim
ei	h6	23	0.35535772641499835	DiceOptim
ei	h6	24	0.32411394119262693	DiceOptim
ei	h6	25	0.3275343259175619	DiceOptim
ei	h6	26	0.36937466462453206	DiceOptim
ei	h6	27	0.3261967658996582	DiceOptim
ei	h6	28	0.3856594324111938	DiceOptim
ei	h6	29	0.353016463915507	DiceOptim
ei	h6	30	0.7370587110519409	DiceOptim
ei	h6	31	0.39031418959299724	DiceOptim
ei	h6	32	0.32737378279368085	DiceOptim
ei	h6	33	0.3279114246368408	DiceOptim
ei	h6	34	0.3277176856994629	DiceOptim
ei	h6	35	0.38028385639190676	DiceOptim
ei	h6	36	0.3798410415649414	DiceOptim
ei	h6	37	0.33644787470499676	DiceOptim
ei	h6	38	0.3288044691085815	DiceOptim
ei	h6	39	0.33559744358062743	DiceOptim
ei	h6	40	0.38075010776519774	DiceOptim
ei	h6	41	0.330260960261027	DiceOptim
ei	h6	42	0.5200734217961629	DiceOptim
ei	h6	43	0.3511811256408691	DiceOptim
ei	h6	44	0.33441535631815594	DiceOptim
ei	h6	45	0.35917187531789146	DiceOptim
ei	h6	46	0.9955442825953166	DiceOptim
ei	h6	47	0.35144325892130535	DiceOptim
ei	h6	48	0.4618934949239095	DiceOptim
ei	h6	49	0.4040425618489583	DiceOptim
ei	h6	50	0.4407984256744385	DiceOptim
ei	h6	51	0.3963895479838053	DiceOptim
ei	h6	52	0.33034952481587726	DiceOptim
ei	h6	53	0.35169115861256917	DiceOptim
ei	h6	54	0.35178136825561523	DiceOptim
ei	h6	55	0.40340518951416016	DiceOptim
ei	h6	56	1.0125316540400187	DiceOptim
ei	h6	57	0.3255510648091634	DiceOptim
ei	h6	58	0.390048352877299	DiceOptim
ei	h6	59	0.3799594481786092	DiceOptim
ei	h6	60	0.5438966910044353	DiceOptim
ei	h6	61	0.3259815454483032	DiceOptim
ei	h6	62	0.6374834775924683	DiceOptim
ei	h6	63	0.3728283484776815	DiceOptim
ei	h6	64	0.5890495379765829	DiceOptim
ei	h6	65	0.3758153518040975	DiceOptim
ei	h6	66	0.408462921778361	DiceOptim
ei	h6	67	0.9771379470825196	DiceOptim
ei	h6	68	0.5767787615458171	DiceOptim
ei	h6	69	0.3758731206258138	DiceOptim
ei	h6	70	0.35243317286173503	DiceOptim
ei	h6	71	0.3765092134475708	DiceOptim
ei	h6	72	0.3231828292210897	DiceOptim
ei	h6	73	0.32684604326883954	DiceOptim
ei	h6	74	0.6861468474070231	DiceOptim
ei	h6	75	0.8228030204772949	DiceOptim
ei	h6	76	0.34582515557607013	DiceOptim
ei	h6	77	1.006846793492635	DiceOptim
ei	h6	78	0.7138617833455404	DiceOptim
ei	h6	79	0.3377891778945923	DiceOptim
ei	h6	80	0.3360514322916667	DiceOptim
ei	h6	81	0.37660558223724366	DiceOptim
ei	h6	82	0.3352299849192301	DiceOptim
ei	h6	83	0.3277775764465332	DiceOptim
ei	h6	84	0.4583710829416911	DiceOptim
ei	h6	85	0.4425696770350138	DiceOptim
ei	h6	86	0.6763907670974731	DiceOptim
ei	h6	87	0.5330927054087321	DiceOptim
ei	h6	88	0.4452866474787394	DiceOptim
ei	h6	89	0.36939573287963867	DiceOptim
ei	h6	90	0.3510948896408081	DiceOptim
ei	h6	91	0.3218474229176839	DiceOptim
ei	h6	92	0.7511317332585653	DiceOptim
ei	h6	93	0.4047648191452026	DiceOptim
ei	h6	94	0.36034777959187825	DiceOptim
ei	h6	95	0.3805660088857015	DiceOptim
ei	h6	96	0.33577152887980144	DiceOptim
ei	h6	97	0.918266216913859	DiceOptim
ei	h6	98	0.398016087214152	DiceOptim
ei	h6	99	0.32908390363057455	DiceOptim
ei	gp	0	0.3933359384536743	DiceOptim
ei	gp	1	0.3440771500269572	DiceOptim
ei	gp	2	0.33304253419240315	DiceOptim
ei	gp	3	0.5451575994491578	DiceOptim
ei	gp	4	0.4866790215174357	DiceOptim
ei	gp	5	0.36267371972401935	DiceOptim
ei	gp	6	0.3036367734273275	DiceOptim
ei	gp	7	0.5321555932362875	DiceOptim
ei	gp	8	0.2735169728597005	DiceOptim
ei	gp	9	0.290954581896464	DiceOptim
ei	gp	10	0.7305756012598673	DiceOptim
ei	gp	11	0.34920321305592855	DiceOptim
ei	gp	12	0.7493385235468547	DiceOptim
ei	gp	13	0.7378306070963542	DiceOptim
ei	gp	14	0.37327489058176677	DiceOptim
ei	gp	15	0.3008468945821126	DiceOptim
ei	gp	16	0.6193432251612345	DiceOptim
ei	gp	17	0.2880597511927287	DiceOptim
ei	gp	18	0.6880545218785604	DiceOptim
ei	gp	19	0.2665343999862671	DiceOptim
ei	gp	20	0.6241807619730632	DiceOptim
ei	gp	21	0.38403740723927815	DiceOptim
ei	gp	22	0.36820687452952067	DiceOptim
ei	gp	23	0.28972116311391194	DiceOptim
ei	gp	24	0.6227301836013794	DiceOptim
ei	gp	25	0.5737906138102213	DiceOptim
ei	gp	26	0.2834164301554362	DiceOptim
ei	gp	27	0.7194264650344848	DiceOptim
ei	gp	28	0.3010147492090861	DiceOptim
ei	gp	29	0.3011490742365519	DiceOptim
ei	gp	30	0.38174840609232585	DiceOptim
ei	gp	31	0.4186844348907471	DiceOptim
ei	gp	32	0.7271798133850098	DiceOptim
ei	gp	33	0.48752166430155436	DiceOptim
ei	gp	34	0.2919164737065633	DiceOptim
ei	gp	35	0.4064786116282145	DiceOptim
ei	gp	36	0.39877541065216066	DiceOptim
ei	gp	37	0.36468484401702883	DiceOptim
ei	gp	38	0.2781594196955363	DiceOptim
ei	gp	39	0.4579659382502238	DiceOptim
ei	gp	40	0.4875606139500936	DiceOptim
ei	gp	41	0.38932453791300453	DiceOptim
ei	gp	42	0.2779098908106486	DiceOptim
ei	gp	43	0.3350098450978597	DiceOptim
ei	gp	44	0.42868191401163735	DiceOptim
ei	gp	45	0.42263696988423666	DiceOptim
ei	gp	46	0.2742010752360026	DiceOptim
ei	gp	47	0.7318246364593506	DiceOptim
ei	gp	48	0.3983200470606486	DiceOptim
ei	gp	49	0.2983162005742391	DiceOptim
ei	gp	50	0.4019159396489461	DiceOptim
ei	gp	51	0.41181534926096597	DiceOptim
ei	gp	52	0.3433142105738322	DiceOptim
ei	gp	53	0.37623960971832277	DiceOptim
ei	gp	54	0.5758370161056519	DiceOptim
ei	gp	55	0.5382940371831259	DiceOptim
ei	gp	56	0.7437668323516846	DiceOptim
ei	gp	57	0.5601439634958904	DiceOptim
ei	gp	58	0.3030979077021281	DiceOptim
ei	gp	59	0.47700246969858806	DiceOptim
ei	gp	60	0.3643432378768921	DiceOptim
ei	gp	61	0.28243308862050376	DiceOptim
ei	gp	62	0.40864655176798503	DiceOptim
ei	gp	63	0.35622910658518475	DiceOptim
ei	gp	64	0.29872695604960126	DiceOptim
ei	gp	65	0.4721240758895874	DiceOptim
ei	gp	66	0.3385586977005005	DiceOptim
ei	gp	67	0.7089684168497722	DiceOptim
ei	gp	68	0.40466832319895424	DiceOptim
ei	gp	69	0.34323670864105227	DiceOptim
ei	gp	70	0.35563337008158363	DiceOptim
ei	gp	71	0.4311089277267456	DiceOptim
ei	gp	72	0.43820144335428873	DiceOptim
ei	gp	73	0.5253105640411377	DiceOptim
ei	gp	74	0.3108306884765625	DiceOptim
ei	gp	75	0.5355094194412231	DiceOptim
ei	gp	76	0.30534104506174725	DiceOptim
ei	gp	77	0.38044361273447674	DiceOptim
ei	gp	78	0.3671020825703939	DiceOptim
ei	gp	79	0.30017643769582114	DiceOptim
ei	gp	80	0.36823967297871907	DiceOptim
ei	gp	81	0.29173380533854165	DiceOptim
ei	gp	82	0.3042765140533447	DiceOptim
ei	gp	83	0.34426558017730713	DiceOptim
ei	gp	84	0.3463818788528442	DiceOptim
ei	gp	85	0.48343635400136314	DiceOptim
ei	gp	86	0.7563389937082926	DiceOptim
ei	gp	87	0.3169652303059896	DiceOptim
ei	gp	88	0.4813566525777181	DiceOptim
ei	gp	89	0.3121172348658244	DiceOptim
ei	gp	90	0.3057820002237956	DiceOptim
ei	gp	91	0.5576073328653971	DiceOptim
ei	gp	92	0.3112759272257487	DiceOptim
ei	gp	93	0.7040529807408651	DiceOptim
ei	gp	94	0.28038764794667564	DiceOptim
ei	gp	95	0.33141051133473715	DiceOptim
ei	gp	96	0.29409891764322915	DiceOptim
ei	gp	97	0.29307273228963215	DiceOptim
ei	gp	98	0.36453473567962646	DiceOptim
ei	gp	99	0.3373274564743042	DiceOptim
ei	ros	0	0.8844995021820068	DiceOptim
ei	ros	1	0.8568532625834148	DiceOptim
ei	ros	2	0.8486432234446207	DiceOptim
ei	ros	3	0.8764324108759562	DiceOptim
ei	ros	4	0.8870048364003499	DiceOptim
ei	ros	5	0.8421487967173259	DiceOptim
ei	ros	6	0.88888748486836755	DiceOptim
ei	ros	7	0.8464107513427734	DiceOptim
ei	ros	8	0.8846977710723877	DiceOptim
ei	ros	9	0.8539183298746745	DiceOptim
ei	ros	10	0.7161961078643799	DiceOptim
ei	ros	11	0.8604272286097209	DiceOptim
ei	ros	12	0.8468088706334432	DiceOptim
ei	ros	13	0.6952199856440227	DiceOptim
ei	ros	14	0.5461779276529948	DiceOptim
ei	ros	15	0.8731037775675455	DiceOptim
ei	ros	16	0.854587459564209	DiceOptim
ei	ros	17	0.849059518178304	DiceOptim
ei	ros	18	0.8202856381734213	DiceOptim
ei	ros	19	0.7761281410853068	DiceOptim
ei	ros	20	0.8512376546859741	DiceOptim
ei	ros	21	0.8634403864542644	DiceOptim
ei	ros	22	0.863603965441386	DiceOptim
ei	ros	23	0.8956619262695312	DiceOptim
ei	ros	24	0.8677438894907633	DiceOptim
ei	ros	25	0.8760846296946208	DiceOptim
ei	ros	26	0.8498097578684489	DiceOptim
ei	ros	27	0.8475503206253052	DiceOptim
ei	ros	28	0.8484198013941447	DiceOptim
ei	ros	29	0.8495193322499593	DiceOptim
ei	ros	30	0.7742008527119955	DiceOptim
ei	ros	31	0.8629703283309936	DiceOptim
ei	ros	32	0.8275107145309448	DiceOptim
ei	ros	33	0.8095909357070923	DiceOptim
ei	ros	34	0.8238356590270997	DiceOptim
ei	ros	35	0.7255572080612183	DiceOptim
ei	ros	36	0.827446707089742	DiceOptim
ei	ros	37	0.8541588147481283	DiceOptim
ei	ros	38	0.8623651027679443	DiceOptim
ei	ros	39	0.887071943283081	DiceOptim
ei	ros	40	0.8370475053787232	DiceOptim
